ACF,Auto-Correlation Function,,
AD,Authorized Dealer,,
ADB,Asian Development Bank,,
ADR,American Depository Receipt,,
AFS,Annual Financial Statement,,
AGM,Annual General Meeting,,
AIRCSC,All India Rural Credit Survey Committee,,
AO,Additive Outliers,,
AR,Auto Regression,,
ARIMA,Auto-Regressive Integrated Moving Average,,
AFS,Available For Sale,,
ASSOCHAM,Associated Chambers of Commerce and Industry of India,,
ATM,Asynchronous Transfer Mode,,
ATM,Automated Teller Machine,,
BIS,Bank for International Settlements,,
BOI,Bank of India,,
BoP,Balance of Payments,,
BPM5,Balance of Payments Manual, 5th edition,
BPSD,Balance of Payments Division,DESACS, RBI
BSCS,Basel Committee on Banking Supervision,,
BSR,Basic Statistical Returns,,
CAD,Capital Account Deficit,,
CAG,Controller and Auditor General of India,,
CBS,Consolidated Banking Statistics,,
CC,Cash Credit,,
CD,Certificate of Deposit,,
CD,Ratio Credit Deposit Ratio,,
CDBS,Committee of Direction on Banking Statistics,,
CF,Company Finance,,
CFRA,Combined Finance and Revenue Accounts,,
CGRA,Currency and Gold Revaluation Account,,
CII,Confederation of Indian Industries,,
CO,Capital Outlay,,
CP,Commercial Paper,,
CPI,Consumer Price Index,,
CPI-IW,Consumer Price Index for Industrial Workers,,
CR,Capital Receipts,,
CRAR,Capital to Risk Weighted AssetRatio,,
CRR,Cash Reserve Ratio,,
CSIR,Council of Scientific and Industrial Research,,
CSO,Central Statistical Organisation,,
CVC,Central Vigilance Commission,,
DAP,Development Action Plan,,
DBOD,Department of Banking Operations and Development,,
DBS,Department of Banking Supervision, RBI,
DCA,Department of Company Affairs, (Now known as Ministry of Companies Affairs, MCA)
DCB,Demand Collection and Balance,,
DCCB,District Central Cooperative Bank,,
DCM,Department of Currency Management, RBI,
DD,Demand Draft,,
DDS,Data Dissemination Standards,,
DEIO,Department of External Investments and Operations,,
DESACS,Department of Statistical Analysis & Computer Services, RBI,
DGBA,Department of Government and Bank Accounts, RBI,
DGCI&S,Directorate General of Commercial Intelligence and Statistics,,
DI,Direct Investment,,
DICGC,Deposit Insurance and Credit,,
Guarantee,Corporation of India,,
DID,Discharge of Internal Debt,,
DMA,Departmentalized Ministries Account,,
DRI,Differntial Rate of Interest Scheme,,
DSBB,Dissemination Standards Bulletin Board,,
DVP,Delivery versus Payment,,
ECB,External Commercial Borrowing,,
ECB,European Central Bank,,
ECGC,Export Credit and Guarantee Corporation,,
ECS,Electronic Clearing Scheme,,
EDMU,External Debt Management Unit,,
EEA,Exchange Equalization Account,,
EEC,European Economic Community,,
EEFC,Exchange Earners Foreign Currency,,
EFR,Exchange Fluctuation Reserve,,
EPF,Employees Provident Fund,,
EUR,Euro,,
EXIM,Bank Export Import Bank of India,,
FCA,Foreign Currency Assets,,
FCCB,Foreign Currency Convertible Bond,,
FCNR(B),Foreign Currency Non-resident (Banks),,
FCNRA,Foreign Currency Non-resident Account,,
FCNRD,Foreign Currency Non-Repatriable Deposit,,
FDI,Foreign Direct Investment,,
FEMA,Foreign Exchange Management Act,,
FI,Financial Institution,,
FICCI,Federation of Indian Chambers of Commerce and Industry,,
FII,Foreign Institutional Investor,,
FIMMDA,Fixed Income Money Market and Derivatives Association of India,,
FISIM,Financial Intermediation Services Indirectly Measured,,
FLAS,Foreign Liabilities and Assets Survey,,
FOF,Flow Of Funds,,
FPI,Foreign Portfolio Investment,,
FRA,Forward Rate Agreement,,
